Amount,percent,Affiliate,Coupa_CC,Allocate,GL,Chart of Accounts,CoCd
129.64,0.008475989165065376,MHIA,CCX-HQ PRESIDENT::XQ01112,Yes,2724111000,MHIA,XQ0
164.33,0.010744055071700042,MHIA,CCX-HQ CA::XQ01113,Yes,2724111000,MHIA,XQ0
35.05,0.0022916030564296623,MHIA,CCX-HQ HR::XQ01114,Yes,2724111000,MHIA,XQ0
33.29,0.002176532546320784,MHIA,CCX-HQ IT::XQ01115,Yes,2724111000,MHIA,XQ0
64.82,0.004237994582532688,MHIA,CCX-HQ I&I SEVP::XQ01116,Yes,2724111000,MHIA,XQ0
77.54,0.00506964054195595,MHIA,CCX-HQ LEGAL::XQ01117,Yes,2724111000,MHIA,XQ0
391.88,0.025621495171288335,MHIA,CCX-HQ ACCT::XQ01118,Yes,2724111000,MHIA,XQ0
158.32,0.010351115432066882,MHIA,CCX-HQ_AM SEVP::XQ01119,Yes,2724111000,MHIA,XQ0
39.9,0.0026087007689456075,MHIA,CCX-Regional IA/CO Offic::XQ01123,Yes,2724111000,MHIA,XQ0
201.09,0.013147459589655944,MHIA,CCX-Mktng & Comms Dept::XQ01124,Yes,2724111000,MHIA,XQ0
53.11,0.003472383404478727,MHIA,CCX-I&B Department (C02)::XQ01128,Yes,2724111000,MHIA,XQ0
35.05,0.0022916030564296623,MHIA,CCX-HQ GEN.SERVICE TO MH::XQ01131,Yes,2724111000,MHIA,XQ0
73.21,0.004786540934699446,MHIA,CCX-Service to MCP-A::XQ01152,Yes,2724111000,MHIA,XQ0
94.59,0.006184386108635715,MHIA,CCX-Service to MSSA::XQ01155,Yes,2724111000,MHIA,XQ0
244.24,0.01596864851647306,MHIA,CCX-F&A FSD General::XQ01211,Yes,2724111000,MHIA,XQ0
225.52,0.014744716727133168,MHIA,CCX-Woburn Engrs_Expats::XQ01412,Yes,2724111000,MHIA,XQ0
982.97,0.0642675337055254,MHIA,CCX-Woburn Engrs_Local::XQ01413,Yes,2724111000,MHIA,XQ0
64.69,0.004229495056217828,MHIA,CCX-PESB Representative::XQ01511,Yes,2724111000,MHIA,XQ0
48.67,0.003182091890340419,MHIA,CCX-PW1100G(2) Eng. Serv::XQ02281,Yes,2724111000,MHIA,XQ0
37.2,0.0024321721454831228,MHIA,CCX-HA PURCHASING::XQ02291,Yes,2724111000,MHIA,XQ0
1082.05,0.07074548037688207,MHIA,CCX-HA-EAST PURCHASING::XQ02294,Yes,2724111000,MHIA,XQ0
88.97,0.005816945047947135,MHIA,CCX-HA Quality Engineer::XQ02295,Yes,2724111000,MHIA,XQ0
138.65,0.009065071719656854,MHIA,CCX-HA Engineering::XQ02297,Yes,2724111000,MHIA,XQ0
23.13,0.001512261874328619,MHIA,CCX-HA IAE Project::XQ02298,Yes,2724111000,MHIA,XQ0
39.64,0.002591701716315887,MHIA,CCX-BO GENERAL::XQ02311,Yes,2724111000,MHIA,XQ0
522.41,0.03415567340112468,MHIA,CCX-LA PURCHASING::XQ02531,Yes,2724111000,MHIA,XQ0
31.79,0.0020784610888416257,MHIA,CCX-LA Aero Q&A::XQ02532,Yes,2724111000,MHIA,XQ0
33.24,0.0021732634977381453,MHIA,CCX-LA Aero Engine::XQ02535,Yes,2724111000,MHIA,XQ0
552.25,0.0361066415952434,MHIA,CCX-CMD ADMINISTRATIVE::XQ03111,Yes,2724111000,MHIA,XQ0
2243.49,0.1466815560932777,MHIA,CCX-CMD FIELD SERVICE::XQ03112,Yes,2724111000,MHIA,XQ0
253.4,0.016567538216812453,MHIA,CCX-CMD Rolls & Rebuild::XQ03114,Yes,2724111000,MHIA,XQ0
693.25,0.04532535859828427,MHIA,CCX-CMD PARTS::XQ03115,Yes,2724111000,MHIA,XQ0
298.31,0.01950379765373845,MHIA,CCX-CMD EQUIPMENT::XQ03116,Yes,2724111000,MHIA,XQ0
456.64,0.029855566895521858,MHIA,CCX-CMD Sales::XQ03118,Yes,2724111000,MHIA,XQ0
36.66,0.0023968664207906255,MHIA,CCX-BO-CAMBRIDGE GENERAL::XQ03911,Yes,2724111000,MHIA,XQ0
29.55,0.001932007712339416,MHIA,CCX-BO-RESEARCH & DEVELP::XQ03915,Yes,2724111000,MHIA,XQ0
56.02,0.003662642031988294,MHIA,CCX-HOUSTON GENERAL::XQ03921,Yes,2724111000,MHIA,XQ0
